EventID,Latitude,Longitude,DepthBelowSL(km),Magnitude(mL),Date(D/M/Y),Time(GMT),ChangeEast(km),ChangeNorth(km),ChangeDepth(km-pos=up),ClosestStation
1716,44.616,-107.303,17.7649,0.83,4/1/10,7:12:50,-0.47,2.13,1.27,
1717,44.1168,-106.814,12.9175,1.34,4/1/10,15:40:17,-0.66,4.14,-0.04,
1718,43.3496,-106.564,26.9092,1.07,4/2/10,5:55:26,7.47,4.97,-0.07,
1719,44.4385,-107.655,22.0483,-0.2,4/6/10,8:09:45,0.44,-1.31,0.99,
1720,44.8374,-107.362,13.0249,0.68,4/9/10,13:19:32,-3.03,0.52,5.38,
1722,44.3421,-107.223,20.7861,0.8,4/14/10,20:18:24,-0.53,0.47,5.25,
1723,43.695,-106.974,12.4072,1.37,4/15/10,17:36:24,0.85,2.58,1.4,
1724,44.0987,-106.306,20.8667,2.5,4/20/10,3:27:46,-1.59,2.5,-1.39,
1725,43.6667,-108.176,25.4053,1.53,4/22/10,18:41:33,5.11,2.97,7.69,
1726,43.5407,-108.561,11.2256,1.67,4/23/10,3:06:50,1.52,-4.16,4.96,
1735,44.7987,-107.211,9.56055,0.65,4/24/10,20:18:17,0.57,7.78,12.49,
1727,44.3655,-107.573,12.8369,0.46,4/27/10,11:58:25,0.42,-0.17,5.06,
1729,44.0733,-106.944,13.4546,1.59,4/28/10,14:39:23,-1.48,3.16,-2.39,
1730,43.5028,-107.833,17.9663,1.63,5/1/10,2:36:44,2.78,-3.66,4.41,
1731,42.866,-106.581,17.1338,2.39,5/1/10,13:35:15,-1.16,1.81,-6.13,
1736,43.7911,-106.725,10.9033,0.82,5/3/10,5:11:37,4.4,1.53,5.26,
1737,43.5867,-108.099,19.2285,0.91,5/3/10,13:26:22,3.83,-1.46,7.39,
1738,43.6158,-107.233,12.0044,1.68,5/7/10,2:26:28,4.82,7.93,-3.09,
1732,44.5224,-108.307,21.7261,1.41,5/7/10,8:47:25,-1.74,-2.83,4.48,
1733,43.4307,-107.244,17.5635,1.47,5/8/10,9:11:39,1.47,4.67,-10.83,
1739,42.9101,-107.727,45.0098,1.59,5/9/10,13:18:09,2.28,0.39,-12.57,
1741,44.9745,-107.785,7.22412,1.52,5/12/10,12:21:29,-1.23,0.8,2.06,
1742,44.3285,-107.356,10.8228,0.51,5/13/10,2:31:37,4.73,-0.25,5.04,
1721,43.5765,-106.487,12.6221,1.54,5/13/10,8:44:33,8.34,-1.22,1.71,
1734,43.6891,-108.306,25.6201,2.87,5/14/10,20:12:25,0.85,0.57,-1.74,
1746,44.6869,-107.36,20.1416,1.2,5/20/10,23:39:26,-0.38,1.55,2.93,
1744,44.5962,-107.59,10.9302,0.14,5/22/10,13:25:29,-4.78,1.64,1.42,
1745,44.2251,-107.583,13.6694,1.24,5/28/10,17:53:57,-0.11,-0.81,2.1,
44916,43.6801,-108.172,28.3862,1.27,6/6/10,4:39:30,6.26,-3.01,8.74,
44917,43.7432,-108.083,12.085,0.94,6/13/10,0:28:18,-0.14,-1.92,9.95,
44919,44.2942,-108.016,5.98877,0.09,6/14/10,5:38:38,-0.81,-2.63,13.21,
44920,44.458,-107.751,28.5474,0.01,6/17/10,8:01:38,0.37,-0.67,0.82,
44903,43.6564,-106.703,9.96338,0.78,6/18/10,7:59:43,5.09,1.89,6.95,
44904,43.1507,-108.155,54.8389,1.49,6/18/10,20:35:14,9.67,-5.18,8.4,
44905,43.6767,-107.04,7.17041,1.27,6/21/10,12:01:03,-6.29,4.83,-1.1,
44906,43.8806,-107.723,15.5225,0.24,6/24/10,1:29:58,1.77,-3.14,4.59,
