StationName,Latitude,Longitude,Depth
GBCN,44.5083,-108.0111,1190
GBCS,44.5084,-108.0111,1186
GBNO,44.5129,-108.0067,1168
GBSE,44.5068,-108.0056,1200
GBSW,44.5047,-108.0148,1182
RCCE,44.6951,-105.7323,1252
RCEA,44.6904,-105.7322,1257
RCNW,44.7034,-105.7281,1262
RCSW,44.7017,-105.7332,1255
RPCE,44.4717,-109.3292,1886
RPCW,44.4717,-109.3293,1883
RPNE,44.4728,-109.3179,1889
RPSE,44.4708,-109.3226,1929
RPWE,44.4725,-109.3396,1805
SE01,44.1005,-106.4997,1356
SE04,44.2411,-106.5422,1398
SE05,44.3004,-106.5513,1403
SE06,44.345,-106.5076,1352
SE07,44.3717,-106.4784,1301
SE08,44.411,-106.3807,1295
SE09,44.4777,-106.307,1311
SE10,44.5317,-106.3236,1351
SE12,44.5658,-106.5254,1238
SE13,44.6125,-106.589,1333
SE14,44.6921,-106.6171,1306
SE15,44.7321,-106.6635,1267
SE16,44.7876,-106.7211,1166
SE17,44.8082,-106.7783,1137
SE18,44.8569,-106.8726,1154
SE19,44.8882,-106.8684,1146
SE20,44.9276,-106.8539,1098
SE21,44.9787,-106.8457,1081
SE22,45.0441,-106.9199,1133
SM01,44.4889,-109.0557,1636
SM03,44.4911,-108.9481,1618
SM04,44.4976,-108.9121,1617
SM05,44.4997,-108.8747,1633
SM06,44.4902,-108.8178,1590
SM07,44.4691,-108.7567,1531
SM08,44.4877,-108.7257,1544
SM09,44.4698,-108.6799,1499
SM10,44.4512,-108.6343,1489
SM11,44.4554,-108.5723,1463
SM12,44.4503,-108.5279,1404
SM125,44.4599,-108.4747,1404
SM13,44.5073,-108.4501,1380
SM14,44.5245,-108.3977,1345
SM15,44.5096,-108.3504,1330
SM16,44.4746,-108.2691,1311
SM18,44.5105,-108.1907,1255
SM19,44.5344,-108.1532,1227
SM20,44.537,-108.1094,1208
SM22,44.5241,-108.0404,1222
SM24,44.5406,-107.9451,1233
SM27,44.5508,-107.7555,1345
SM28,44.5691,-107.7183,1363
SM29,44.5781,-107.6758,1563
SM30,44.5844,-107.6248,1908
SM31,44.5872,-107.5836,2194
SM32,44.5853,-107.5365,2369
SM33,44.6222,-107.4961,2706
SM34,44.5984,-107.439,2946
SM35,44.6231,-107.4129,2872
SM36,44.63,-107.3664,2807
SM37,44.6208,-107.3263,2734
SM38,44.6153,-107.2771,2526
SM39,44.6075,-107.2357,2413
SM40,44.6321,-107.1607,2358
SM41,44.6288,-107.0847,1724
SM42,44.6614,-107.0134,1304
SM43,44.6459,-106.9069,1369
SM44,44.624,-106.8549,1356
SM45,44.625,-106.7749,1367
SM46,44.6552,-106.75,1262
SM47,44.6572,-106.6762,1287
SM48,44.6497,-106.604,1397
SM49,44.6476,-106.5606,1328
SM50,44.6443,-106.515,1332
SM51,44.649,-106.4613,1269
SM52,44.642,-106.4426,1261
SM53,44.6452,-106.4043,1235
SM54,44.6866,-106.3611,1196
SM55,44.7097,-106.3348,1197
SM56,44.7141,-106.2376,1171
SM57,44.7134,-106.2041,1190
SM58,44.7115,-106.1545,1188
SM59,44.697,-106.1048,1118
SM60,44.6967,-106.0366,1183
SM61,44.6907,-105.9644,1227
SM62,44.7142,-105.9547,1246
SM63,44.7153,-105.8997,1220
SM64,44.7077,-105.8678,1240
SM65,44.7126,-105.8057,1242
SM66,44.6975,-105.7323,1253
SN05,44.8515,-108.6386,1339
SN06,44.8382,-108.5848,1286
SN07,44.8525,-108.5123,1280
SN08,44.8712,-108.4356,1197
SN09,44.8667,-108.3917,1212
SN10,44.8742,-108.3195,1156
SN105,44.8889,-108.2503,1159
SN11,44.8732,-108.1677,1124
SN12,44.8588,-108.1186,1267
SN125,44.823,-108.1364,1172
SN13,44.7947,-108.0787,1338
SN14,44.7972,-107.9945,1727
SN15,44.8056,-107.9531,2496
SN16,44.8034,-107.872,2773
SN17,44.8105,-107.8023,2750
SN18,44.791,-107.7691,2717
SN19,44.7683,-107.7025,2865
SN20,44.774,-107.6565,2741
SN21,44.8023,-107.5914,2520
SN22,44.8013,-107.5365,2438
SN23,44.7981,-107.4824,2345
SN24,44.7779,-107.4408,2498
SN25,44.7881,-107.4055,2440
SN26,44.8063,-107.3524,2179
